,ID,captions,map
0,-4wsuPCjDBc_5_15,a squirrel is eating a peanut in it s shell,283
1,-4wsuPCjDBc_5_15,a chipmunk is eating,283
2,-4wsuPCjDBc_5_15,a chipmunk is eating a peanut,283
3,-4wsuPCjDBc_5_15,a chipmunk is eating a nut,283
4,-4wsuPCjDBc_5_15,a squirrel is eating a nut,283
5,-4wsuPCjDBc_5_15,a squirrel is eating a whole peanut,283
6,-4wsuPCjDBc_5_15,a squirrel is eating a peanut,283
7,-4wsuPCjDBc_5_15,a squirrel l is eating nuts,283
8,-4wsuPCjDBc_5_15,a small squirrel is eating a peanut,283
9,-4wsuPCjDBc_5_15,a small animal is chewing on a nut,283
10,-4wsuPCjDBc_5_15,an ardilla is eating,283
11,-4wsuPCjDBc_5_15,a squirrel is eating a nut,283
12,-4wsuPCjDBc_5_15,a chipmunk is eating some food,283
13,-4wsuPCjDBc_5_15,the squirrel is eating,283
14,-4wsuPCjDBc_5_15,a ferret eats a leaf,283
15,-4wsuPCjDBc_5_15,a hamster is eating a peanut,283
16,-4wsuPCjDBc_5_15,a ardilla coreana eating,283
17,-4wsuPCjDBc_5_15,the rabbit is eating,283
18,-4wsuPCjDBc_5_15,a chipmunk is eating a peanut,283
19,-4wsuPCjDBc_5_15,a rabbit is eating,283
20,-4wsuPCjDBc_5_15,a rabbit is eating,283
21,-4wsuPCjDBc_5_15,a squirrel eating a fruit,283
22,-4wsuPCjDBc_5_15,a chipmunk is eating,283
23,-4wsuPCjDBc_5_15,a man is playing guitar,283
24,-4wsuPCjDBc_5_15,a squirrel or some such animal eating a nut of some kind,283
25,-4wsuPCjDBc_5_15,a chipmunk is eating some food,283
26,-4wsuPCjDBc_5_15,a rat is playing and eating something,283
27,-4wsuPCjDBc_5_15,the squirrel ate the peanut out of the shell,283
28,-4wsuPCjDBc_5_15,the squirrel is eating,283
71,-8y1Q0rA3n8_108_115,a man slices through a two liter plastic bottle of soda pop with a sword,120
72,-8y1Q0rA3n8_108_115,a man slices a soda bottle with a sword,120
73,-8y1Q0rA3n8_108_115,a man slices a soda bottle with a sword,120
74,-8y1Q0rA3n8_108_115,a man uses a sword to cut a two liter plastic bottle in half,120
75,-8y1Q0rA3n8_108_115,a man is broken a bottle by a sword,120
76,-8y1Q0rA3n8_108_115,a man sliced a plastic bottle with a sword,120
77,-8y1Q0rA3n8_108_115,a man is cutting a bottle with a sword,120
78,-8y1Q0rA3n8_108_115,a man is cutting a bottle of water with a sword,120
79,-8y1Q0rA3n8_108_115,someone slices a bottle with a sword,120
80,-8y1Q0rA3n8_108_115,a person slices through a bottle with a sword,120
81,-8y1Q0rA3n8_108_115,the ma sliced through a plastic bottle,120
82,-8y1Q0rA3n8_108_115,the man used a sword to slice a plastic bottle,120
83,-8y1Q0rA3n8_108_115,a man slices the top of a plastic bottle of water off with a sword,120
84,-8y1Q0rA3n8_108_115,a man breaks a bottle with a sword,120
85,-8y1Q0rA3n8_108_115,the man sliced through a soda bottle with a sword,120
86,-8y1Q0rA3n8_108_115,the man cut the bottle with the sword,120
87,-8y1Q0rA3n8_108_115,a person is break out the bottle,120
88,-8y1Q0rA3n8_108_115,a man cuts a bottle with a sword,120
89,-8y1Q0rA3n8_108_115,i love the cold steel blades,120
90,-8y1Q0rA3n8_108_115,a person cutting a botal,120
91,-8y1Q0rA3n8_108_115,the person is doing the something,120
92,-8y1Q0rA3n8_108_115,a man is cutting a bottle of soda,120
93,-8y1Q0rA3n8_108_115,a man is breaking a bottle,120
94,-8y1Q0rA3n8_108_115,a man slices a soda bottle with a sword,120
95,-8y1Q0rA3n8_108_115,a man sliced a bottle full of liquid with a cold steel sword in an instant,120
96,-8y1Q0rA3n8_108_115,a man slices a soda bottle in half with a sword,120
97,-8y1Q0rA3n8_108_115,a man breaking a glass,120
98,-8y1Q0rA3n8_108_115,the man is using a sword to slice the platic bottle,120
99,-8y1Q0rA3n8_108_115,a man is standing with road,120
100,-8y1Q0rA3n8_108_115,cold steel swords video,120
101,-8y1Q0rA3n8_108_115,a man is slashing a bottle with a sword,120
102,-8y1Q0rA3n8_108_115,a man is broken a bottle,120
130,-9CUm-2cui8_39_44,a woman puts four okra in a pan of boiling water,204
131,-9CUm-2cui8_39_44,a woman is boiling peppers,204
132,-9CUm-2cui8_39_44,a person is boiling chile peppers,204
133,-9CUm-2cui8_39_44,someone is cooking okra in a pan,204
134,-9CUm-2cui8_39_44,a woman is boiling finger in the water,204
135,-9CUm-2cui8_39_44,a woman is adding cut green beans to boiling water,204
136,-9CUm-2cui8_39_44,a woman is boiling some vegetables,204
137,-9CUm-2cui8_39_44,okra is cooking in boiling water,204
138,-9CUm-2cui8_39_44,someone is boiling some peppers,204
139,-9CUm-2cui8_39_44,a woman is adding vegetables to a pot,204
140,-9CUm-2cui8_39_44,the lady added the pea pods to the boiling water,204
141,-9CUm-2cui8_39_44,the woman is boiling okra,204
142,-9CUm-2cui8_39_44,a woman is boiling okra,204
143,-9CUm-2cui8_39_44,a woman dumps vegetables into boiling water,204
144,-9CUm-2cui8_39_44,ocra is boiling in a pot of water,204
145,-9CUm-2cui8_39_44,someone is boiling okra in a pot,204
146,-9CUm-2cui8_39_44,the lady put the bean pods in the boiling water,204
147,-9CUm-2cui8_39_44,there is a preparing curry,204
148,-9CUm-2cui8_39_44,a lady is stirring the lady finger which is in the boiling water,204
149,-9CUm-2cui8_39_44,someone is boiling peppers,204
150,-9CUm-2cui8_39_44,the person is the boiling the ladiesfinger,204
151,-9CUm-2cui8_39_44,a woman is putting some okra into a pot,204
152,-9CUm-2cui8_39_44,a chef is boiling vegetables in water,204
153,-9CUm-2cui8_39_44,someone boiling lady finger in frying pan,204
154,-9CUm-2cui8_39_44,the lady put the pea pods in the boiling water,204
155,-9CUm-2cui8_39_44,a man cooking his kichen,204
